section,module,reported,recomputed,match,source,formula,note
1 corpus/linkage,projects N,3714,3714,PASS,table5_project_dataset_n3714_full.csv rows,len(rows),
1 corpus/linkage,projects 1375/1657/682,1375/1657/682,1375/1657/682,PASS,project table groupby(level_code),count per code 1=校级/2=省级/3=国家级,
1 corpus/linkage,project level pct,37.0/44.6/18.4,37.0/44.6/18.4,PASS,project table,100*n_k/3714,
1 corpus/linkage,individual advisors,1834,1834,PASS,project table advisor column,"split on [、，,;；], unique names",
1 corpus/linkage,advisor-project links,4244,4244,PASS,project table advisor column,"unique (project_id, advisor) pairs",
1 corpus/linkage,co-supervised projects,528,528,PASS,project table advisor column,rows with >1 advisor after split,
1 corpus/linkage,articles 2020-24,56901,56901,PASS,whu_openalex_papers_2020_2024_full.csv,len(rows),
1 corpus/linkage,articles by year,9970/10117/12002/11954/12858,9970/10117/12002/11954/12858,PASS,article table groupby(year),count work_id,
1 corpus/linkage,articles sum=56901,56901,56901,PASS,yearly counts,sum 2020..2024,
1 corpus/linkage,prehistory 2017-19,22438,22438,PASS,whu_openalex_papers_2017_2019.csv,len(rows),
1 corpus/linkage,total pool,79339,79339,PASS,both article files,56901 + 22438,
1 corpus/linkage,matched articles,33312,33312,PASS,paper_college_year_map_full.csv,work_id nunique where has_matched==True,
1 corpus/linkage,matched pct,58.5,58.54,PASS,matched / articles,100*33312/56901,exact 58.5438%
1 corpus/linkage,mean colleges/matched article [pre-audit 1.83 -> corrected 1.37],1.37 (was 1.83),1.3694,PASS,"paper_college_year_map_full.csv colleges (' | ' delimited, dedup set)",sum(len(colleges)) / 33312,CORRECTED in manuscript cand.14 audit: full-corpus truth = 45619/33312 = 1.3694 (~1.37). The old 1.83 was a stale 12K-first-batch statistic; even the frozen 12K map recomputes to 1.41. articles with >1 college=9608
1 corpus/linkage,project title Chinese-char ratio (mean),0.9234,0.9234,PASS,audit_substrate.json projects.title_chinese_ratio_mean,mean over titles of CJK_chars/len(title),CORRECTED in manuscript cand.14 audit: old '(92% Chinese)' read like a share of titles; now 'on average 92% Chinese characters'. Underlying stat = mean Chinese-character share 0.9234; Chinese-majority titles = 98.57%; titles containing any CJK = 99.92%
1 corpus/linkage,article titles: mean CJK ratio,~0,0.000348,PASS,full article title column,mean CJK_chars/len(title),"CORRECTED in manuscript cand.14 audit: '100% English' was exact on the 12K first batch; on full 56,901 corpus 43 titles contain CJK chars (56858/56901 = 99.924% CJK-free); MS now says predominantly English, 99.9%."
2 aggregation/RTAS,composite mean,0.742,0.742,PASS,rtas_model_selection.csv (5 mini variants),0.45*norm(eta2)+0.30*norm(stability)+0.25*norm(C3),
2 aggregation/RTAS,composite top5,0.48,0.48,PASS,rtas_model_selection.csv (5 mini variants),0.45*norm(eta2)+0.30*norm(stability)+0.25*norm(C3),
2 aggregation/RTAS,composite top10,0.447,0.447,PASS,rtas_model_selection.csv (5 mini variants),0.45*norm(eta2)+0.30*norm(stability)+0.25*norm(C3),
